full_title,guest,length,views,likes,dislikes,date,comments,likes/dislikes,views/likes,views/comments
Грудинин: Сталин наш лучший лидер за 100 лет,Грудинин,71,8506859,228000.0,98000.0,2018-02-06,97405,2.326530612244898,37.310785087719296,87.33493147169037
"Парфенов - о преемнике, Серебренникове и мате",Парфенов ,59,5774122,144000.0,7100.0,2017-10-06,13185,20.281690140845072,40.09806944444444,437.93113386423965
Шевчук - о батле с Путиным и войне в Чечне,Шевчук ,58,7795277,303000.0,27000.0,2017-12-07,32923,11.222222222222221,25.726986798679867,236.7729854509006
"Новый русский юмор: Гудков, Соболев, Satyr",Новый русский юмор,126,13736519,272000.0,20000.0,2018-11-13,20675,13.6,50.5019080882353,664.4023700120919
ВИЧ в России,ВИЧ в России,108,18852609,1000000.0,26000.0,2020-02-11,106227,38.46153846153846,18.852609,177.47473806094496
"Поперечный - о цензуре, геях и чувствах верующих",Поперечный ,66,13022055,416000.0,22000.0,2018-02-13,31217,18.90909090909091,31.303016826923077,417.146266457379
Усович – белорусские протесты и русский стендап,Усович ,76,11173787,425000.0,25000.0,2020-07-29,30953,17.0,26.291263529411765,360.992052466643
Сергей Бодров - главный русский супергерой,Сергей Бодров ,67,10860147,428000.0,10000.0,2017-09-26,22374,42.8,25.37417523364486,485.3913917940467
Нейромонах Феофан - кто он на самом деле,Нейромонах Феофан ,52,5982432,154000.0,21000.0,2017-09-19,14145,7.333333333333333,38.84696103896104,422.9361611876988
Балабанов - гениальный русский режиссер,Балабанов ,130,7719403,191000.0,8500.0,2018-05-15,14668,22.470588235294116,40.41572251308901,526.2750886283065
Хлебников - лучший русский фильм-2017/ вДудь - YouTu,Хлебников ,55,2894199,71000.0,5500.0,2017-10-03,8428,12.909090909090908,40.763366197183096,343.4028239202658
"Тиньков - о Путине, Навальном и телках",Тиньков ,58,10151348,220000.0,43000.0,2017-06-12,27745,5.116279069767442,46.14249090909091,365.88026671472335
"Noize MC - о провале на Версусе, Первом канале и Хованском",Noize MC ,42,6354811,198000.0,12000.0,2017-04-25,27953,16.5,32.09500505050505,227.33914070046148
GONE.Fludd - главное рэп-открытие года,GONE.Fludd ,63,8872443,363000.0,36000.0,2018-10-23,54464,10.083333333333334,24.44199173553719,162.90472605757932
"Новая Россия: The Hatters, Аксенова, Покрас Лампас, Пязок",Новая Россия,66,5746959,224000.0,10000.0,2018-01-17,15701,22.4,25.656066964285714,366.0250302528501
Навальные – интервью после отравления,Навальные ,140,20228099,1000000.0,55000.0,2020-10-05,216631,18.181818181818183,20.228099,93.37582802092037
"Толоконникова - бисексуальность, FACE, тюрьма",Толоконникова ,87,9930926,192000.0,83000.0,2018-10-10,43605,2.3132530120481927,51.72357291666667,227.74741428735237
"Михалков - власть, гимн, BadComedian",Михалков ,109,12260307,224000.0,52000.0,2018-11-27,74427,4.3076923076923075,54.73351339285714,164.72929178927004
"Слепаков - о ""Нашей Russia"" и современной России",Слепаков ,62,10299247,251000.0,23000.0,2017-12-12,29106,10.91304347826087,41.03285657370518,353.85305435305435
"Александр Паль - о ""Горько"", Бодрове и самой жесткой драке",Александр Паль ,59,7554133,176000.0,10000.0,2017-08-01,17476,17.6,42.92121022727273,432.25755321583887
Скриптонит - большое откровенное интервью,Скриптонит ,49,12680112,254000.0,46000.0,2017-06-06,41889,5.521739130434782,49.921700787401576,302.7074410943207
"Бледный - наркота, смерть, спасение",Бледный ,81,5564867,126000.0,14000.0,2018-05-29,27544,9.0,44.16561111111111,202.03554313099042
Реутов ТВ: понять Россию через юмор,Реутов ТВ,109,6466222,194000.0,13000.0,2019-09-26,18732,14.923076923076923,33.3310412371134,345.1965620328849
"Идов - чекисты, Монеточка, застой",Идов ,70,4609208,115000.0,15000.0,2019-02-26,15729,7.666666666666667,40.08006956521739,293.0388454447199
Человек после войны,Человек после войны,35,9446183,492000.0,10000.0,2018-01-08,39675,49.2,19.199558943089432,238.08904851921866
"L'One - о баттле с Оксимироном, Украине и Фараоне",L'One ,47,4579917,93000.0,12000.0,2017-02-14,5508,7.75,49.24641935483871,831.5027233115468
"Чичваркин #1 - о Медведеве, контрабанде и дружбе с Сурковым",Чичваркин #1 ,64,8696699,164000.0,13000.0,2017-07-25,12479,12.615384615384615,53.02865243902439,696.9067232951359
Артемий Лебедев - магистр мата и отец 10 детей,Артемий Лебедев ,69,8909026,180000.0,26000.0,2017-12-04,22854,6.923076923076923,49.49458888888889,389.82348822963155
Лошак – как оставаться журналистом в 2020 году,Лошак ,109,5583863,158000.0,12000.0,2020-07-14,20884,13.166666666666666,35.34090506329114,267.37516759241527
